,id,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,calculated_host_listings_count,availability_365,bathrooms,bedrooms
51,57209,Mitte,Brunnenstr. Süd,52.53683096273127,13.398966507950535,Entire home/apt,80,3,1,264,1.0,2.0
52,57792,Steglitz - Zehlendorf,Ostpreußendamm,52.42530982912259,13.328061611379399,Entire home/apt,49,2,1,0,1.0,1.0
53,58041,Mitte,Alexanderplatz,52.52770910110819,13.390902470147008,Entire home/apt,55,90,1,352,1.0,2.0
54,58780,Pankow,Prenzlauer Berg Süd,52.534204666577885,13.426711669188904,Entire home/apt,130,5,2,211,1.5,2.0
55,59249,Pankow,Prenzlauer Berg Südwest,52.54088868001604,13.409448814157395,Entire home/apt,90,5,2,149,1.0,1.0
56,60161,Treptow - Köpenick,Schmöckwitz/Karolinenhof/Rauchfangswerder,52.3782796904114,13.652751149230713,Entire home/apt,120,2,4,86,1.5,2.0
57,63052,Neukölln,Neuköllner Mitte/Zentrum,52.46892121357074,13.434541014208676,Private room,37,6,2,347,1.0,1.0
58,63468,Friedrichshain-Kreuzberg,nördliche Luisenstadt,52.50359828363869,13.4320599213118,Entire home/apt,52,2,3,323,1.0,1.0
59,64245,Pankow,Prenzlauer Berg Nordwest,52.54649888653129,13.406329471467506,Private room,44,3,2,123,1.0,3.0
60,64590,Friedrichshain-Kreuzberg,südliche Luisenstadt,52.494970325600654,13.423991494661836,Entire home/apt,102,2,1,0,1.0,2.0
61,68142,Friedrichshain-Kreuzberg,Frankfurter Allee Nord,52.5248935337621,13.453857347885648,Private room,29,2,1,58,1.0,1.0
62,68448,Pankow,Prenzlauer Berg Nord,52.54979810330722,13.415959608867743,Entire home/apt,84,3,10,315,1.0,0.0
63,72079,Charlottenburg-Wilm.,Kantstraße,52.50780325949872,13.318707261044278,Entire home/apt,80,3,2,349,1.0,1.0
64,73302,Tempelhof - Schöneberg,Schöneberg-Nord,52.501054343895426,13.350320889902525,Entire home/apt,69,3,1,178,1.0,1.0
65,74614,Pankow,Prenzlauer Berg Südwest,52.5376951267311,13.408535523373187,Entire home/apt,185,4,1,359,1.0,3.0
